image,size,naive_mac(arm64),naive_board(arm64)
image,size,naive_mac_arm64_us,naive_pynq_arm_us
board.jpg,128,2519,81036
board.jpg,256,10338,323078
board.jpg,512,41015,1324419
board.jpg,1024,154800,5253337
pic4.png,128,2121,73042
pic4.png,256,9103,305517
pic4.png,512,33479,1210643
pic4.png,1024,132872,4807493
Tiger.50.jpg,128,2309,74967
Tiger.50.jpg,256,9510,309005
Tiger.50.jpg,512,36571,1229226
Tiger.50.jpg,1024,138062,4886253
butterfly.jpg,128,2243,73985
butterfly.jpg,256,9001,303746
butterfly.jpg,512,35831,1212730
butterfly.jpg,1024,138509,4876087
starry_night.jpg,128,2552,77697
starry_night.jpg,256,10267,316766
starry_night.jpg,512,39619,1284638
starry_night.jpg,1024,151721,5137616
building.jpg,128,2255,73729
building.jpg,256,9026,302679
building.jpg,512,36364,1227889
building.jpg,1024,145571,4904521
lena.jpg,128,2365,74156
lena.jpg,256,9116,303387
lena.jpg,512,36250,1220222
lena.jpg,1024,141915,4882166
Red_Apple.jpg,128,2130,72763
Red_Apple.jpg,256,8696,298001
Red_Apple.jpg,512,35338,1211972
Red_Apple.jpg,1024,140908,4853430
smarties.png,128,2144,71776
smarties.png,256,8730,295470
smarties.png,512,34102,1197904
smarties.png,1024,132368,4823851
sudoku.png,128,2441,77419
sudoku.png,256,9489,310202
sudoku.png,512,39244,1305918
sudoku.png,1024,4921337,148610
graf1.png,128,2585,76906
graf1.png,256,9401,310001
graf1.png,512,36878,1241304
graf1.png,1024,145864,4933887
digits.png,128,2474,79354
digits.png,256,12185,340478
digits.png,512,43627,1376814
digits.png,1024,139882,4951049
pic2.png,128,2409,76380
pic2.png,256,10891,328063
pic2.png,512,45700,1386836
pic2.png,1024,175789,5482321
baboon.jpg,128,2609,77372
baboon.jpg,256,10245,321537
baboon.jpg,512,69202,1302400
baboon.jpg,1024,156237,5223091
orange.jpg,128,2216,72222
orange.jpg,256,8965,298543
orange.jpg,512,35598,1203591
orange.jpg,1024,140623,4846086
Shaki_waterfall.jpg,128,2418,76333
Shaki_waterfall.jpg,256,9909,314757
Shaki_waterfall.jpg,512,38509,1268272
Shaki_waterfall.jpg,1024,155900,5091761
messi5.jpg,128,2511,76942
messi5.jpg,256,9277,303613
messi5.jpg,512,34375,1209575
messi5.jpg,1024,208808,4864081
fruits.jpg,128,2250,74643
fruits.jpg,256,9344,307900
fruits.jpg,512,36552,1225748
fruits.jpg,1024,140035,4925000
chessboard.png,128,1825,70355
chessboard.png,256,7648,291784
chessboard.png,512,31512,1188260
chessboard.png,1024,123807,4796496

