image,size,time_us
fruits.jpg,128,5070
fruits.jpg,256,10167
fruits.jpg,512,41327
fruits.jpg,1024,160463
Shaki_waterfall.jpg,128,2851
Shaki_waterfall.jpg,256,10807
Shaki_waterfall.jpg,512,42575
Shaki_waterfall.jpg,1024,167998
sudoku.png,128,2688
sudoku.png,256,10253
sudoku.png,512,40971
sudoku.png,1024,168276
lena.jpg,128,3106
lena.jpg,256,10250
lena.jpg,512,41022
lena.jpg,1024,158376
smarties.png,128,2599
smarties.png,256,9066
smarties.png,512,35380
smarties.png,1024,141368
chessboard.png,128,2389
chessboard.png,256,8709
chessboard.png,512,33776
chessboard.png,1024,133483
digits.png,128,3158
digits.png,256,11741
digits.png,512,44812
digits.png,1024,157651
butterfly.jpg,128,2707
butterfly.jpg,256,10486
butterfly.jpg,512,41459
butterfly.jpg,1024,162333
orange.jpg,128,2451
orange.jpg,256,9790
orange.jpg,512,39847
orange.jpg,1024,154458
building.jpg,128,2686
building.jpg,256,10229
building.jpg,512,40488
building.jpg,1024,162312
graf1.png,128,2659
graf1.png,256,10566
graf1.png,512,39502
graf1.png,1024,157961
pic2.png,128,2663
pic2.png,256,10802
pic2.png,512,45435
pic2.png,1024,177516
board.jpg,128,2721
board.jpg,256,10682
board.jpg,512,43074
board.jpg,1024,165395
Tiger.50.jpg,128,2609
Tiger.50.jpg,256,10460
Tiger.50.jpg,512,40027
Tiger.50.jpg,1024,155499
pic4.png,128,2414
pic4.png,256,9955
pic4.png,512,39628
pic4.png,1024,150201
starry_night.jpg,128,2676
starry_night.jpg,256,10846
starry_night.jpg,512,42728
starry_night.jpg,1024,166934
messi5.jpg,128,2706
messi5.jpg,256,10507
messi5.jpg,512,39157
messi5.jpg,1024,153410
baboon.jpg,128,2619
baboon.jpg,256,10698
baboon.jpg,512,43056
baboon.jpg,1024,165005
Red_Apple.jpg,128,2455
Red_Apple.jpg,256,9483
Red_Apple.jpg,512,37596
Red_Apple.jpg,1024,150527
