image,size,time_us
fruits.jpg,128,2250
fruits.jpg,256,9344
fruits.jpg,512,36552
fruits.jpg,1024,140035
Shaki_waterfall.jpg,128,2418
Shaki_waterfall.jpg,256,9909
Shaki_waterfall.jpg,512,38509
Shaki_waterfall.jpg,1024,155900
sudoku.png,128,2441
sudoku.png,256,9489
sudoku.png,512,39244
sudoku.png,1024,148610
lena.jpg,128,2365
lena.jpg,256,9116
lena.jpg,512,36250
lena.jpg,1024,141915
smarties.png,128,2144
smarties.png,256,8730
smarties.png,512,34102
smarties.png,1024,132368
chessboard.png,128,1825
chessboard.png,256,7648
chessboard.png,512,31512
chessboard.png,1024,123807
digits.png,128,2474
digits.png,256,12185
digits.png,512,43627
digits.png,1024,139882
butterfly.jpg,128,2243
butterfly.jpg,256,9001
butterfly.jpg,512,35831
butterfly.jpg,1024,138509
orange.jpg,128,2216
orange.jpg,256,8965
orange.jpg,512,35598
orange.jpg,1024,140623
building.jpg,128,2255
building.jpg,256,9026
building.jpg,512,36364
building.jpg,1024,145571
graf1.png,128,2585
graf1.png,256,9401
graf1.png,512,36878
graf1.png,1024,145864
pic2.png,128,2409
pic2.png,256,10891
pic2.png,512,45700
pic2.png,1024,175789
board.jpg,128,2519
board.jpg,256,10338
board.jpg,512,41015
board.jpg,1024,154800
Tiger.50.jpg,128,2309
Tiger.50.jpg,256,9510
Tiger.50.jpg,512,36571
Tiger.50.jpg,1024,138062
pic4.png,128,2121
pic4.png,256,9103
pic4.png,512,33479
pic4.png,1024,132872
starry_night.jpg,128,2552
starry_night.jpg,256,10267
starry_night.jpg,512,39619
starry_night.jpg,1024,151721
messi5.jpg,128,2511
messi5.jpg,256,9277
messi5.jpg,512,34375
messi5.jpg,1024,208808
baboon.jpg,128,2609
baboon.jpg,256,10245
baboon.jpg,512,69202
baboon.jpg,1024,156237
Red_Apple.jpg,128,2130
Red_Apple.jpg,256,8696
Red_Apple.jpg,512,35338
Red_Apple.jpg,1024,140908
