image,size,time_us
board.jpg,128,81036
board.jpg,256,323078
board.jpg,512,1324419
board.jpg,1024,5253337
pic4.png,128,73042
pic4.png,256,305517
pic4.png,512,1210643
pic4.png,1024,4807493
Tiger.50.jpg,128,74967
Tiger.50.jpg,256,309005
Tiger.50.jpg,512,1229226
Tiger.50.jpg,1024,4886253
butterfly.jpg,128,73985
butterfly.jpg,256,303746
butterfly.jpg,512,1212730
butterfly.jpg,1024,4876087
starry_night.jpg,128,77697
starry_night.jpg,256,316766
starry_night.jpg,512,1284638
starry_night.jpg,1024,5137616
building.jpg,128,73729
building.jpg,256,302679
building.jpg,512,1227889
building.jpg,1024,4904521
lena.jpg,128,74156
lena.jpg,256,303387
lena.jpg,512,1220222
lena.jpg,1024,4882166
Red_Apple.jpg,128,72763
Red_Apple.jpg,256,298001
Red_Apple.jpg,512,1211972
Red_Apple.jpg,1024,4853430
smarties.png,128,71776
smarties.png,256,295470
smarties.png,512,1197904
smarties.png,1024,4823851
sudoku.png,128,77419
sudoku.png,256,310202
sudoku.png,512,1305918
sudoku.png,1024,4921337
graf1.png,128,76906
graf1.png,256,310001
graf1.png,512,1241304
graf1.png,1024,4933887
digits.png,128,79354
digits.png,256,340478
digits.png,512,1376814
digits.png,1024,4951049
pic2.png,128,76380
pic2.png,256,328063
pic2.png,512,1386836
pic2.png,1024,5482321
baboon.jpg,128,77372
baboon.jpg,256,321537
baboon.jpg,512,1302400
baboon.jpg,1024,5223091
orange.jpg,128,72222
orange.jpg,256,298543
orange.jpg,512,1203591
orange.jpg,1024,4846086
Shaki_waterfall.jpg,128,76333
Shaki_waterfall.jpg,256,314757
Shaki_waterfall.jpg,512,1268272
Shaki_waterfall.jpg,1024,5091761
messi5.jpg,128,76942
messi5.jpg,256,303613
messi5.jpg,512,1209575
messi5.jpg,1024,4864081
fruits.jpg,128,74643
fruits.jpg,256,307900
fruits.jpg,512,1225748
fruits.jpg,1024,4925000
chessboard.png,128,70355
chessboard.png,256,291784
chessboard.png,512,1188260
chessboard.png,1024,4796496
